Platform,Category_Level,Category,Total_Records,Price_Filled,Rating_Filled,Review_Filled,Sold_Filled,Brand_Filled
Tiki,L2,Phụ Kiện Điện Thoại và Máy Tính Bảng,771,771,384,384,595,771
Tiki,L2,Nội thất,479,479,213,213,319,479
Tiki,L2,Dụng cụ nhà bếp,442,442,306,306,422,442
Tiki,L2,Linh Kiện Máy Tính - Phụ Kiện Máy Tính,286,286,42,42,100,286
Tiki,L2,Trang trí nhà cửa,269,269,105,105,163,269
Tiki,L2,Sửa chữa nhà cửa,240,240,94,94,173,240
Tiki,L2,Đồ dùng phòng ăn,231,231,149,149,213,231
Tiki,L2,Đồ dùng và thiết bị nhà tắm,181,181,94,94,148,181
Tiki,L2,Đồ dùng nhà bếp,175,175,119,119,173,175
Tiki,L2,Phụ kiện máy tính và Laptop,174,174,133,133,168,174
Tiki,L2,Phụ kiện thời trang nữ,169,169,85,85,147,169
Tiki,L2,Chăm sóc da mặt,163,163,99,99,134,163
Tiki,L2,Trang sức,143,143,36,36,53,143
Tiki,L2,Thiết Bị Văn Phòng - Thiết Bị Ngoại Vi,139,139,32,32,61,139
Tiki,L2,Thiết bị gia đình,137,137,77,77,109,137
Tiki,L2,Đèn & thiết bị chiếu sáng,132,132,72,72,100,132
Tiki,L2,Mắt kính,111,111,24,24,43,111
Tiki,L2,Ngoài trời & sân vườn,106,106,69,69,93,106
Tiki,L2,Đồ lót nữ,105,105,41,41,58,105
Tiki,L2,Thực phẩm chức năng,105,105,37,37,62,105
Tiki,L2,Phụ kiện thời trang nam,99,99,43,43,63,99
Tiki,L2,Dụng cụ làm đẹp,94,94,47,47,83,94
Tiki,L2,Thiết Bị Âm Thanh và Phụ Kiện,87,87,39,39,58,87
Tiki,L2,Máy Massage & Thiết bị chăm sóc sức khỏe,85,85,52,52,75,85
Tiki,L2,Thiết Bị Mạng,59,59,29,29,42,59
Tiki,L2,Balo,49,49,14,14,25,48
Tiki,L2,Áo thun nam,47,47,13,13,24,47
Tiki,L2,Sản phẩm thiên nhiên & Khác,47,47,25,25,40,47
Tiki,L2,Trang điểm ,46,46,18,18,35,46
Tiki,L2,Chăm sóc cơ thể,39,39,10,10,19,39
Tiki,L2,Thiết Bị Đeo Thông Minh và Phụ Kiện,37,37,9,9,17,37
Tiki,L2,Ví nam,36,36,29,29,30,36
Tiki,L2,Phụ kiện đồng hồ,35,35,8,8,18,35
Tiki,L2,Chăm sóc tóc và da đầu,32,32,25,25,30,32
Tiki,L2,Đồ ngủ - Đồ mặc nhà nữ,32,32,3,3,7,32
Tiki,L2,Đầm nữ,29,29,1,1,3,29
Tiki,L2,Dép nam,28,28,8,8,12,28
Tiki,L2,Nước hoa,28,28,5,5,9,28
Tiki,L2,Chăm sóc cá nhân,28,28,17,17,26,28
Tiki,L2,Camera Giám Sát,28,28,8,8,17,28
Tiki,L2,Điện thoại Smartphone,27,27,14,14,19,27
Tiki,L2,Thiết Bị Thông Minh và Linh Kiện Điện Tử,27,27,1,1,4,27
Tiki,L2,Đồng hồ nam,26,26,4,4,11,26
Tiki,L2,Áo sơ mi nam,26,26,3,3,7,26
Tiki,L2,Áo vest - Áo khoác nữ,25,25,0,0,7,25
Tiki,L2,Áo vest - Áo khoác nam,22,22,3,3,7,22
Tiki,L2,Chăm sóc răng miệng,22,22,4,4,7,22
Tiki,L2,Ví nữ,20,20,6,6,13,20
Tiki,L2,Túi du lịch và phụ kiện,18,18,13,13,18,18
Tiki,L2,Đồ lót nam,17,17,15,15,15,17
Tiki,L2,Quần nữ,17,17,0,0,8,17
Tiki,L2,Áo thun nữ,16,16,4,4,6,16
Tiki,L2,Vệ sinh nhà tắm,16,16,0,0,2,16
Tiki,L2,"Vali, phụ kiện vali ",16,16,7,7,10,16
Tiki,L2,Giặt giũ & Chăm sóc quần áo,15,15,14,14,15,15
Tiki,L2,Quần dài nam,15,15,0,0,0,15
Tiki,L2,Giày tây nam,14,14,6,6,6,14
Tiki,L2,Dép - Guốc nữ,13,13,0,0,0,13
Tiki,L2,Quần short nam,13,13,0,0,0,13
Tiki,L2,"Túi đeo chéo, túi đeo vai nữ",13,13,4,4,4,13
Tiki,L2,Giày lười nam,12,12,0,0,2,12
Tiki,L2,Túi đeo chéo nam,12,12,9,9,8,12
Tiki,L2,Đồng hồ nữ,12,12,1,1,2,12
Tiki,L2,Trang phục bơi nữ,10,10,4,4,5,10
Tiki,L2,Áo kiểu nữ,10,10,1,1,5,10
Tiki,L2,Giấy vệ sinh và giấy ăn,9,9,4,4,8,9
Tiki,L2,Giày cao gót,8,8,0,0,3,8
Tiki,L2,Chân váy,8,8,0,0,0,8
Tiki,L2,Tủ lạnh,8,8,0,0,0,8
Tiki,L2,"Phụ Kiện Máy Ảnh, Máy Quay",8,8,4,4,8,8
Tiki,L2,Âm thanh & Phụ kiện Tivi,8,8,0,0,1,8
Tiki,L2,Máy lạnh - Máy điều hòa,8,8,1,1,2,8
Tiki,L2,Vệ sinh nhà cửa,7,7,5,5,7,7
Tiki,L2,Túi xách tay nữ,7,7,0,0,0,7
Tiki,L2,Phụ kiện điện lạnh,7,7,1,1,6,7
Tiki,L2,Phụ kiện giày nam,7,7,1,1,7,7
Tiki,L2,Áo sơ mi nữ,7,7,3,3,1,7
Tiki,L2,Áo liền quần - Bộ trang phục,7,7,0,0,0,7
Tiki,L2,Máy giặt,7,7,0,0,0,7
Tiki,L2,"Balo, cặp, túi chống sốc laptop",6,6,0,0,0,6
Tiki,L2,Máy nước nóng,6,6,0,0,3,6
Tiki,L2,Giày sandals nữ,6,6,0,0,0,6
Tiki,L2,Giày sandals nam,6,6,1,1,0,6
Tiki,L2,Túi xách công sở nam,6,6,5,5,6,6
Tiki,L2,Giày búp bê,5,5,0,0,0,5
Tiki,L2,Tivi,5,5,0,0,0,5
Tiki,L2,Điện thoại bàn,5,5,4,4,4,5
Tiki,L2,Vệ sinh nhà bếp,5,5,2,2,4,5
Tiki,L2,Balo - Túi Đựng - Bao Da,5,5,0,0,1,5
Tiki,L2,Máy rửa chén,5,5,0,0,0,5
Tiki,L2,Máy tính bảng,4,4,1,1,1,4
Tiki,L2,Bộ trang phục nam,4,4,0,0,0,4
Tiki,L2,Áo nỉ - Áo len nam,4,4,1,1,0,4
Tiki,L2,Áo hoodie nam,4,4,0,0,0,4
Tiki,L2,Giày thể thao nam,4,4,0,0,0,4
Tiki,L2,Phụ kiện giày nữ,4,4,3,3,3,4
Tiki,L2,Thiết Bị Chơi Game và Phụ Kiện,3,3,1,1,1,3
Tiki,L2,Diệt côn trùng,3,3,3,3,3,3
Tiki,L2,Tủ đông - Tủ mát,3,3,0,0,0,3
Tiki,L2,Túi tote nữ,3,3,0,0,2,3
Tiki,L2,Đồ đôi - Đồ gia đình,3,3,0,0,0,3
Tiki,L2,Phụ kiện túi,3,3,0,0,2,3
Tiki,L2,Giày thể thao nữ,2,2,0,0,0,2
